Code,activity value required?,data category,ert valid,last inventory year,last updated date,map to,option group,option set,scc level four,scc level one,scc level three,scc level two,sector,short name,status,tier 1 code,tier 1 description,tier 2 code,tier 2 description,tier 3 code,tier 3 description,usage notes
4444444444,No,Nonpoint,,2002,3/14/2012,,,,Brick Kilns,Brick Kilns,Brick Kilns,Brick Kilns,Industrial Processes - NEC,,Retired,3,Fuel Comb. Other,4,Misc. Fuel Comb. (Except Residential),99,Other,
40100101,No,Point,Yes,,3/4/2016,,,,Perchloroethylene,Chemical Evaporation,Dry Cleaning,Organic Solvent Evaporation,Solvent - Dry Cleaning,,Active,8,Solvent Utilization,3,Dry Cleaning,1,Perchloroethylene,
40100102,No,Point,Yes,,3/4/2016,,,,Stoddard (Petroleum Solvent) ** (Use 4-10-001-01 or 4-10-002-01),Chemical Evaporation,Dry Cleaning,Organic Solvent Evaporation,Solvent - Dry Cleaning,,Active,8,Solvent Utilization,3,Dry Cleaning,2,Petroleum Solvent,
40100104,No,Point,Yes,,3/4/2016,,,,Stoddard (Petroleum Solvent) ** (Use 4-10-001-02 or 4-10-002-02),Chemical Evaporation,Dry Cleaning,Organic Solvent Evaporation,Solvent - Dry Cleaning,,Active,8,Solvent Utilization,3,Dry Cleaning,2,Petroleum Solvent,
40100105,No,Point,Yes,,3/4/2016,,,,Trichlorotrifluoroethane (Freon),Chemical Evaporation,Dry Cleaning,Organic Solvent Evaporation,Solvent - Dry Cleaning,,Active,8,Solvent Utilization,3,Dry Cleaning,99,Other,
40100107,No,Point,Yes,,3/4/2016,,,,Ethylene Oxide: General,Chemical Evaporation,Dry Cleaning,Organic Solvent Evaporation,Solvent - Dry Cleaning,,Active,8,Solvent Utilization,3,Dry Cleaning,99,Other,
40100146,No,Point,Yes,,3/4/2016,,,,Stoddard:Filtr Disp/Cooked Muck(Drained)**(Use 4-10-001-61 or 002-61),Chemical Evaporation,Dry Cleaning,Organic Solvent Evaporation,Solvent - Dry Cleaning,,Active,8,Solvent Utilization,3,Dry Cleaning,99,Other,
40100147,No,Point,Yes,,3/4/2016,,,,Stoddard:Filtr Disp/Cooked Muck (Centrif)**(Use 4-10-001-62 or 002-62),Chemical Evaporation,Dry Cleaning,Organic Solvent Evaporation,Solvent - Dry Cleaning,,Active,8,Solvent Utilization,3,Dry Cleaning,99,Other,
40100160,No,Point,Yes,,3/4/2016,,,,Trichlorofluoroethane: Washer/Dryer/Still,Chemical Evaporation,Dry Cleaning,Organic Solvent Evaporation,Solvent - Dry Cleaning,,Active,8,Solvent Utilization,3,Dry Cleaning,99,Other,
40100161,No,Point,Yes,,3/4/2016,,,,Trichlorofluoroethane: Cartrige Filter Disposal,Chemical Evaporation,Dry Cleaning,Organic Solvent Evaporation,Solvent - Dry Cleaning,,Active,8,Solvent Utilization,3,Dry Cleaning,99,Other,
40100162,No,Point,Yes,,3/4/2016,,,,Trichlorofluoroethane: Still Residue Disposal,Chemical Evaporation,Dry Cleaning,Organic Solvent Evaporation,Solvent - Dry Cleaning,,Active,8,Solvent Utilization,3,Dry Cleaning,99,Other,
40100163,No,Point,Yes,,3/4/2016,,,,Trichlorofluoroethane: Miscellaneous Fugitive,Chemical Evaporation,Dry Cleaning,Organic Solvent Evaporation,Solvent - Dry Cleaning,,Active,8,Solvent Utilization,3,Dry Cleaning,99,Other,
40100198,No,Point,Yes,,3/4/2016,,,,Other Not Classified,Chemical Evaporation,Dry Cleaning,Organic Solvent Evaporation,Solvent - Dry Cleaning,,Active,8,Solvent Utilization,3,Dry Cleaning,99,Other,
40100201,No,Point,Yes,,3/4/2016,,,,Stoddard (Petroleum Solvent): Open-top Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,1,Open Top,
40100202,No,Point,Yes,,3/4/2016,,,,"1,1,1-Trichloroethane (Methyl Chloroform): Open-top Vapor Degreasing",Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,1,Open Top,
40100203,No,Point,Yes,,3/4/2016,,,,Perchloroethylene: Open-top Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,1,Open Top,
40100204,No,Point,Yes,,3/4/2016,,,,Methylene Chloride: Open-top Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,1,Open Top,
40100205,No,Point,Yes,,3/4/2016,,,,Trichloroethylene: Open-top Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,1,Open Top,
40100206,No,Point,Yes,,3/4/2016,,,,Toluene: Open-top Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,1,Open Top,
40100207,No,Point,Yes,,3/4/2016,,,,Trichlorotrifluoroethane (Freon): Open-top Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,1,Open Top,
40100208,No,Point,Yes,,3/4/2016,,,,Chlorosolve: Open-top Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,1,Open Top,
40100209,No,Point,Yes,,3/4/2016,,,,Butyl Acetate: Open-top Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,1,Open Top,
40100215,No,Point,Yes,,3/4/2016,,,,Entire Unit: Open-top Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,1,Open Top,
40100221,No,Point,Yes,,3/4/2016,,,,Stoddard (Petroleum Solvent): Conveyorized Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,2,Conveyorized,
40100222,No,Point,Yes,,3/4/2016,,,,"1,1,1-Trichloroethane (Methyl Chloroform):Conveyorized Vapor Degreaser",Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,2,Conveyorized,
40100223,No,Point,Yes,,3/4/2016,,,,Perchloroethylene: Conveyorized Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,2,Conveyorized,
40100224,No,Point,Yes,,3/4/2016,,,,Methylene Chloride: Conveyorized Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,2,Conveyorized,
40100225,No,Point,Yes,,3/4/2016,,,,Trichloroethylene: Conveyorized Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,2,Conveyorized,
40100235,No,Point,Yes,,3/4/2016,,,,Entire Unit: with Vaporized Solvent: Conveyorized Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,2,Conveyorized,
40100236,No,Point,Yes,,3/4/2016,,,,Entire Unit: with Non-boiling Solvent: Conveyorized Vapor Degreasing,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,2,Conveyorized,
40100251,No,Point,Yes,,3/4/2016,,,,Stoddard (Petroleum Solvent): General Degreasing Units,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,99,Other,
40100252,No,Point,Yes,,3/4/2016,,,,"1,1,1-Trichloroethane (Methyl Chloroform): General Degreasing Units",Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,99,Other,
40100253,No,Point,Yes,,3/4/2016,,,,Perchloroethylene: General Degreasing Units,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,99,Other,
40100254,No,Point,Yes,,3/4/2016,,,,Methylene Chloride: General Degreasing Units,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,99,Other,
40100255,No,Point,Yes,,3/4/2016,,,,Trichloroethylene: General Degreasing Units,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,99,Other,
40100256,No,Point,Yes,,3/4/2016,,,,Toluene: General Degreasing Units,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,99,Other,
40100257,No,Point,Yes,,3/4/2016,,,,Trichlorotrifluoroethane (Freon): General Degreasing Units,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,99,Other,
40100258,No,Point,Yes,,3/4/2016,,,,Trichlorofluoromethane: General Degreasing Units,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,99,Other,
40100296,No,Point,Yes,,3/4/2016,,,,Other Not Classified: General Degreasing Units,Chemical Evaporation,Degreasing,Organic Solvent Evaporation,Solvent - Degreasing,,Active,8,Solvent Utilization,1,Degreasing,99,Other,
