ID,SPECIES_ID,P_NUMBER,WEIGHT_PER,UNCERTAINT,ANLYMETHOD,UNC_METHOD
100479,592,"2487",2.4500000000000000e+01,-9.9000000000000000e+01,"Not Available","N/A"
100488,605,"2487",1.2770000000000000e+01,-9.9000000000000000e+01,"Not Available","N/A"
184718,118,"8869",5.7602109436999998e+00,-9.9000000000000000e+01,"GC-MS and GC-FID","N/A"
184779,508,"8869",2.4589274217000000e+01,-9.9000000000000000e+01,"GC-MS and GC-FID","N/A"
184785,592,"8869",5.4417833466000003e+00,-9.9000000000000000e+01,"GC-MS and GC-FID","N/A"
184788,601,"8869",6.0573857346000004e+00,-9.9000000000000000e+01,"GC-MS and GC-FID","N/A"
184791,605,"8869",6.5569568292999998e+00,-9.9000000000000000e+01,"GC-MS and GC-FID","N/A"
184798,717,"8869",6.8650783927000001e+00,-9.9000000000000000e+01,"GC-MS and GC-FID","N/A"
184838,118,"8870",5.3981473934000004e+00,-9.9000000000000000e+01,"GC-MS and GC-FID","N/A"
184864,199,"8870",1.1033755298000001e+01,-9.9000000000000000e+01,"GC-MS and GC-FID","N/A"
184877,248,"8870",6.5965412536999999e+00,-9.9000000000000000e+01,"GC-MS and GC-FID","N/A"
184900,508,"8870",1.0291311908000001e+01,-9.9000000000000000e+01,"GC-MS and GC-FID","N/A"
184919,717,"8870",5.2128155925000002e+00,-9.9000000000000000e+01,"GC-MS and GC-FID","N/A"
