"Process Type","Process Name","Process ID","Output Resource","Pathways the process is used in.","SCC",9991,9992,9993,9994,9995,9996,888,"NOTES","NOTES"
"StationaryProcess","NG Recovery",3,"Natural Gas","NNA NG from Shale and Regular Recovery,NA NG from Shale and Regular Recovery","31000201;31000202;31000203;31000204;31000205;31000206;31000207;31000208;31000209;31000211;31000215;31000216;31000220;31000222;31000223;31000224;31000225;31000226;31000227;31000228;31000229;31000230;31000231;31000299",,,,,,,,,
"StationaryProcess","NA NG/Shale Gas Processing",4,"Natural Gas","NNA NG from Shale and Regular Recovery,NA NG from Shale and Regular Recovery,NA NG from Shale and Regular Recovery","31000201;31000202;31000203;31000204;31000205;31000206;31000207;31000208;31000209;31000211;31000215;31000216;31000220;31000222;31000223;31000224;31000225;31000226;31000227;31000228;31000229;31000230;31000231;31000299",,,,,,,,,
"StationaryProcess","NNA NG Recovery",5,"Natural Gas",,"31000201;31000202;31000203;31000204;31000205;31000206;31000207;31000208;31000209;31000211;31000215;31000216;31000220;31000222;31000223;31000224;31000225;31000226;31000227;31000228;31000229;31000230;31000231;31000299",,,,,99951300,,,,
"StationaryProcess","NNA FG Recovery",7,"Flared Gas","Non-North American Flared Gas Feedstock Production","30190023;30390024",,,,,99951300,,,,
"StationaryProcess","NNA FG Processing",8,"Flared Gas","Non-North American Flared Gas Feedstock Production","30190023;30390024",,,,,99951300,,,,
"StationaryProcess","Compressed Natural Gas Compression with Credit from NA NG",9,"Compressed Natural Gas","Compressed Natural Gas from North American Natural Gas,Compressed Natural Gas from Non-North American Liquified Natural Gas","31000301;31000302;31000303;31000304;31000305;31000306;31000307;31000308;31000309;31000310;31000311;31000321;31000322;31000323;31000324;31000325",,,,,,,,,
"StationaryProcess","NG Liquefaction: As an Intermediate Fuel",10,"Liquefied Natural Gas","Liquefied Natural Gas (as an intermediate fuel) from Non-North American Natural Gas","31000301;31000302;31000303;31000304;31000305;31000306;31000307;31000308;31000309;31000310;31000311;31000321;31000322;31000323;31000324;31000325",,,,,,,,,
"StationaryProcess","NG Liquefaction: As a Transportation Fuel",11,"Liquefied Natural Gas","Liquefied Natural Gas (As a Transportation Fuel) from North American Natural Gas,Liquefied Natural Gas (As a Transportation Fuel) from Non-North American Natural Gas","31000301;31000302;31000303;31000304;31000305;31000306;31000307;31000308;31000309;31000310;31000311;31000321;31000322;31000323;31000324;31000325",,,,,,,,,
"StationaryProcess","LNG Storage: As an Intermediate Fuel",12,"Liquefied Natural Gas","Liquefied Natural Gas (as an intermediate fuel) from Non-North American Natural Gas","31000201;31000202;31000203;31000204;31000205;31000206;31000207;31000208;31000209;31000211;31000215;31000216;31000220;31000222;31000223;31000224;31000225;31000226;31000227;31000228;31000229;31000230;31000231;31000299",,,,,,,,,
"StationaryProcess","LNG Bulk Terminal Storage: As a Transportation Fuel",13,"Liquefied Natural Gas","Liquefied Natural Gas (As a Transportation Fuel) from North American Natural Gas,Liquefied Natural Gas (As a Transportation Fuel) from Non-North American Natural Gas","40400101;40400102;40400103;40400104;40400105;40400106;40400107;40400108;40400109;40400110;40400111;40400112;40400113;40400114;40400115;40400116;40400117;40400118;40400119;40400120;40400121;40400122;40400130;40400131;40400132;40400133;40400140;40400141;40400142;40400143;40400148;40400149;40400150;40400151;40400152;40400153;40400154;40400160;40400161;40400162;40400163;40400170;40400171;40400172;40400173;40400178;40400179;40400199",,,,,,,,,
