time_iso8601,forks_cumulative
2016-06-30 00:00:00+00:00,1
2017-06-14 00:00:00+00:00,2
2018-02-27 00:00:00+00:00,3
2018-05-16 00:00:00+00:00,4
2018-11-28 00:00:00+00:00,5
2018-11-29 00:00:00+00:00,6
2019-01-25 00:00:00+00:00,7
2019-03-04 00:00:00+00:00,8
2019-03-06 00:00:00+00:00,9
2019-03-13 00:00:00+00:00,10
2019-03-22 00:00:00+00:00,11
2019-04-25 00:00:00+00:00,12
2019-04-29 00:00:00+00:00,13
2019-05-26 00:00:00+00:00,14
2019-06-08 00:00:00+00:00,15
2019-12-02 00:00:00+00:00,16
2020-02-11 00:00:00+00:00,17
2020-07-30 00:00:00+00:00,18
2020-09-02 00:00:00+00:00,19
2020-10-21 00:00:00+00:00,20
2020-12-30 00:00:00+00:00,21
2021-02-14 00:00:00+00:00,22
2021-02-23 00:00:00+00:00,23
2021-04-28 00:00:00+00:00,24
2021-05-11 00:00:00+00:00,25
2021-07-16 00:00:00+00:00,26
2021-11-09 00:00:00+00:00,27
2022-03-17 00:00:00+00:00,28
2022-04-05 00:00:00+00:00,29
2022-05-02 00:00:00+00:00,30
2022-05-13 00:00:00+00:00,31
2022-05-27 00:00:00+00:00,32
2022-06-14 00:00:00+00:00,33
2022-06-23 00:00:00+00:00,34
2022-10-24 00:00:00+00:00,35
2022-10-25 00:00:00+00:00,37
2022-12-24 00:00:00+00:00,38
2023-03-16 00:00:00+00:00,39
2023-04-04 00:00:00+00:00,40
2023-08-03 00:00:00+00:00,41
2023-11-17 00:00:00+00:00,42
