time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-02 00:00:00+00:00,17,8,2,2
2026-06-03 00:00:00+00:00,4,4,17,4
2026-06-04 00:00:00+00:00,4,4,28,5
2026-06-05 00:00:00+00:00,10,5,22,8
2026-06-06 00:00:00+00:00,26,11,14,1
2026-06-07 00:00:00+00:00,8,8,7,6
2026-06-08 00:00:00+00:00,24,11,13,6
2026-06-09 00:00:00+00:00,25,8,35,11
2026-06-10 00:00:00+00:00,21,10,15,6
2026-06-11 00:00:00+00:00,27,10,7,3
2026-06-12 00:00:00+00:00,28,11,20,5
2026-06-13 00:00:00+00:00,15,6,9,5
2026-06-14 00:00:00+00:00,26,8,9,5
2026-06-15 00:00:00+00:00,23,12,27,12
