time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-11 00:00:00+00:00,5,3,25,4
2023-02-13 00:00:00+00:00,3,2,17,5
2023-02-14 00:00:00+00:00,1,1,23,7
2023-02-15 00:00:00+00:00,0,0,42,8
2023-02-16 00:00:00+00:00,4,1,32,9
2023-02-17 00:00:00+00:00,2,1,34,13
2023-02-18 00:00:00+00:00,9,2,12,4
2023-02-19 00:00:00+00:00,0,0,2,1
2023-02-20 00:00:00+00:00,2,1,9,4
2023-02-21 00:00:00+00:00,4,3,81,9
2023-02-22 00:00:00+00:00,7,3,55,14
2023-02-23 00:00:00+00:00,2,1,55,10
2023-02-24 00:00:00+00:00,67,11,64,10
2023-02-25 00:00:00+00:00,59,40,16,3
2023-02-26 00:00:00+00:00,67,50,35,4
2023-02-27 00:00:00+00:00,20,18,18,9
2023-02-28 00:00:00+00:00,4,3,114,18
2023-03-01 00:00:00+00:00,14,13,54,7
